0.01214,-0.27345,-0.55865,-0.14195,-0.13604,-0.18868,-0.11267,-0.32569,0.1147,-0.25847,-0.5549,0.16958,0.016334,2.0016,-0.28666
0.31203,0.60029,0.027003,-0.13716,-1.3219,1.1705,-0.68443,-0.30157,0.20548,-0.024484,0.26683,-0.64151,0.32099,-0.4924,0.48546
-0.64048,-0.21249,0.54489,0.66853,-0.3308,-0.70509,1.0307,-0.10953,0.021663,-0.82591,-0.63601,-1.2342,0.32809,0.034377,0.12117
-0.09292,-0.35704,0.2048,-0.42707,-0.29618,-0.24613,-0.84608,1.3603,-0.83504,-0.083182,-0.091637,-0.047367,0.9777,-0.030148,0.11348
0.16986,-0.17649,-0.03891,0.25432,1.7267,0.21133,-0.054199,0.098822,-0.36362,0.10962,0.087598,-0.070595,-0.025757,-0.10576,0.035066
0.14998,-0.41237,-0.52292,-0.0040775,-0.29331,0.7279,0.91491,0.72738,-0.084295,-0.49988,-0.60133,0.74284,-1.5904,0.016986,-0.2598
0.87161,-0.50602,1.1381,0.39301,-0.069688,-0.33108,-0.37509,-0.66582,0.55752,-0.49152,-0.34572,-0.075829,-0.03446,-0.87091,0.038481
0.22111,0.1692,-0.18856,-0.34164,0.0061127,-0.32552,0.1407,-0.34698,-0.13496,1.8632,-0.18874,0.17188,-0.21554,-0.34761,-0.83203
-0.46797,0.87061,-1.0437,-0.40502,0.50155,-0.4344,-0.26604,-0.43617,-0.080305,-0.37268,-0.48545,1.2317,-0.43744,-0.46849,0.44217
-0.26821,-0.20379,-0.1004,-0.40388,-0.082676,-0.41803,-0.16985,-0.074676,0.53421,0.016937,1.9047,-0.12541,-0.28303,-0.40466,-0.31083
